PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
030078,01-OCT-13,30-SEP-14,Settled,93701710,174852,1714096
030083,01-OCT-13,30-SEP-14,Settled,82002698,166926273,187930935
030084,01-OCT-13,30-SEP-14,Settled,73042331,90953,1163520
030085,01-OCT-13,30-SEP-14,Amended,220763589,883525202,692338213
030087,01-OCT-13,31-DEC-13,Settled,92309194,244933664,204176270
030087,01-JAN-14,31-DEC-14,Settled,385239504,1058910743,836651636
030088,01-JAN-14,31-DEC-14,As Submitted,228998132,883384442,468410663
030089,01-JAN-14,31-DEC-14,As Submitted,425741796,1217367903,780791076
030092,01-JAN-14,31-DEC-14,Settled,217574639,663505851,543791462
030093,01-JAN-14,31-DEC-14,Settled,231844098,656008309,664696369
030094,01-APR-14,31-MAR-15,Settled,151254229,427510383,342344868
030101,01-SEP-14,31-AUG-15,As Submitted,80828483,587905519,437984585
030103,01-JAN-14,31-DEC-14,As Submitted,424713646,624649448,549024181
030105,01-JAN-14,31-DEC-14,As Submitted,96362762,444561656,227119429
030107,01-JAN-14,31-DEC-14,Settled,21855722,46741446,34488027
030108,01-JUN-14,31-MAY-15,As Submitted,17134762,28188106,12565442
030110,01-MAY-14,30-APR-15,Settled,136064849,393941625,333563333
030111,01-JUL-14,27-FEB-15,Amended,80735807,167772291,221125398
030112,01-JAN-14,31-DEC-14,Settled,20965161,50151296,62132105
030113,01-OCT-13,30-SEP-14,Amended,38166462,35664,373769
030114,01-OCT-13,30-SEP-14,Settled,80676092,271285854,265042624
030115,01-JAN-14,31-DEC-14,As Submitted,225137671,708043577,638531809
030117,01-DEC-13,30-NOV-14,Settled,46250976,148822558,193469782
030118,01-JAN-14,31-DEC-14,Settled,64285298,99990830,151156850
030119,01-JUL-14,30-JUN-15,Settled,223142587,706858579,667760547
030120,01-JAN-14,31-DEC-14,Settled,20707827,13668165,85384089
030121,01-JUL-14,30-JUN-15,As Submitted,150415742,562006328,391110994
030122,01-JAN-14,31-DEC-14,Amended,270169124,540205877,656023125
030123,01-OCT-13,31-DEC-13,Settled,26347517,73279958,52359912
030123,01-JAN-14,31-DEC-14,Settled,110836608,310347268,220011238
030130,01-JAN-14,31-DEC-14,Settled,57744313,89159346,167384364
030131,01-JAN-14,31-DEC-14,Settled,59494022,142946975,17445869
030132,01-JAN-14,31-DEC-14,Settled w/Audit,17861607,12676684,64707258
030134,01-JAN-14,31-DEC-14,Settled,18552687,23128530,62666237
030135,29-MAY-14,31-DEC-14,Settled,11207840,12923280,38250715
031300,01-JAN-14,31-DEC-14,Settled,,8537109,36489664
031301,01-JUL-14,30-JUN-15,Settled,,4525029,18848177
031302,01-JUL-14,30-JUN-15,Settled,16813501,6381556,24204341
031303,01-APR-14,31-MAR-15,Settled,,2508658,15443022
031304,01-JAN-14,31-DEC-14,Settled,,6189190,29200749
031305,01-OCT-13,30-SEP-14,Settled,,6765,124370
031307,01-OCT-13,30-SEP-14,Settled,,6108,174097
031308,01-OCT-13,30-SEP-14,Settled,,480,809974
031309,01-OCT-13,30-SEP-14,Settled,,7420922,20360780
